noun	suffix	v_trans	v_dyn	v_dur	v_tel	v_post_phase	v_rol_subj	v_rol_obj	v_rol_obq	n_onto	n_relation	n_dyn	n_dur	n_tel	n_post_phase	n_rol_arg1	n_rol_arg2	n_rol_arg3
brillement1	ment	n	y	y	n	n	cau	na	na	phn	res	na	na	na	na	na	na	na
brillement2	ment	n	n	y	n	n	pvt	na	na	ppt	tsp	n	na	na	na	pvt	na	na
bronchement	ment	n	y	y	n	n	agt	na	na	evt	tsp	y	y	n	n	agt	na	na
brondissement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
cernement1	ment	y	y	n	y	y	agt	thm	na	evt*sta	tsp	y	n	y	y	thm	agt	na
cernement2	ment	y	y	n	y	n	agt	tpc	na	evt	tsp	y	n	y	n	tpc	agt	na
chagrinement	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
chouinement	ment	n	y	y	n	n	cau	na	na	cog*evt	tsp	y	y	n	n	cau	na	na
claquettement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
cogitement1	ment	n	y	y	n	n	agt	na	na	cog*evt	tsp	y	y	n	n	agt	na	na
cogitement2	ment	n	y	y	n	n	agt	na	na	sta	res	n	y	n	n	na	na	na
combinement1	ment	y	y	n	y	y	cau	thm	thm	evt*sta	tsp	y	n	y	y	thm	thm	cau
combinement2	ment	y	y	n	y	y	cau	thm	thm	art	res	na	na	na	na	na	na	na
commissionnement	ment	y	y	n	y	y	agt	ben	na	evt*sta	tsp	y	n	y	y	ben	agt	na
consignement	ment	y	y	n	y	y	agt	thm	ben	evt*sta	tsp	y	n	y	y	thm	ben	agt
convergement	ment	n	y	y	v	y	thm	na	thm	evt*sta	tsp	y	y	v	y	thm	thm	na
coordonnement1	ment	y	y	n	y	y	agt	thm	thm	evt*sta	tsp	y	n	y	y	agt	thm	thm
coordonnement2	ment	n	y	n	y	y	thm	na	thm	evt*sta	tsp	y	n	y	y	thm	na	thm
coordonnement3	ment	y	y	y	n	n	agt	thm	thm	evt	tsp	y	y	n	n	agt	thm	thm
coraillement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
coulement1	ment	y	y	y	y	n	agt	res	na	evt	tsp	y	y	y	n	res	agt	na
coulement2	ment	n	y	y	n	n	thm	na	na	evt	tsp	y	y	n	n	thm	na	na
coulement3	ment	n	y	y	n	n	pat	na	na	evt	tsp	y	y	n	n	pat	na	na
